,folder,name,question,Item Type,Section,Type,Program,Language,Level,ID,SectionShort,date
11,Assumptions/eur-assumptions-106-en,eur-assumptions-106-en,"*Social skills and Problem Based Learning (PBL)*
A researcher from Erasmus University Rotterdam is investigating the possible advantages of PBL on students’ social competencies and has gathered social competency scores about students on four occasions. These scores come from observations by the researcher 2 days after their first PBL group (T1_social), six months after their first PBL tutor group (T2­_social), a year after their first PBL tutor group (T3_social) and a year and a half after their first PBL tutor group (T4_social). At these four occasions, social competence was measured using a semi-structured interview with scores varying from 0 (not social) to 40 (very social). Additionally, the researcher determines whether a student is shy or not [SHY]. 
Open the data file.
Test whether the mean level of social compentency differs between the four points in time. What is the value of Greenhouse-Geisser Epsilon for this model? (3 decimals)
**Download**: [SPSS file](eur-assumptions-106-en-data.sav), [CSV file](eur-assumptions-106-en-data.csv)
",num,Assumptions/Sphericity/Epsilon,Performing analysis,SPSS,English,Statistical Literacy,304ab,Assumptions/Epsilon,2026-01-12
12,Assumptions/eur-assumptions-106-nl,eur-assumptions-106-nl,"*Sociale vaardigheden en Probleem Gestuurd Onderwijs (PGO)*
Er is in het onderwijs veel aandacht voor de voordelen van PGO. Een onderzoeker aan de Erasmus Universiteit heeft op 4 meetmomenten informatie verzameld over de sociale vaardigheden van studenten. De studenten werden tijdens onderwijsgroepen geobserveerd en beoordeeld op sociale vaardigheid 1) 2 dagen na hun eerste PGO les [T1_social] ; 2) een half jaar na hun eerste PGO les [T2_social]; 3) een jaar na hun eerste PGO les [T3_social]; en 4) anderhalf jaar na hun eerste PGO les [T4_social]. Het sociale gedrag werd gescoord middels een semi-gestructureerd interview waarbij de scores kunnen variëren van 0 (niet sociaal) tot 40 (uiterst sociaal). Verder registreert de behandelaar of de patiënten last hebben van verlegenheid of niet [verlegen].
Open het databestand.
Toets of het gemiddelde niveau van sociale vaardigheden verschilt tussen de vier tijdstippen. Wat is de waarde van Greenhouse-Geisser Epsilon voor bovenstaand model? (3 decimalen)
**Download**: [SPSS file](eur-assumptions-106-nl-data.sav), [CSV file](eur-assumptions-106-nl-data.csv)
",num,Assumptions/Sphericity/Epsilon,Performing analysis,SPSS,Dutch,Statistical Literacy,2490c,Assumptions/Epsilon,2026-01-12
19,Assumptions/uu-assumptions-004-en,uu-assumptions-004-en,"Which of the following assumptions does NOT play a role in a repeated-measures analysis with one within-factor and one between-factor?
Answerlist
----------
* Homogeneity of variances
* Homogeneity of regression lines
* Normally distributed residuals
* Sphericity
",schoice,Assumptions,Performing analysis,NA,English,Statistical Literacy,a68ec,Assumptions/Assumptions,2026-01-12
20,Assumptions/uu-assumptions-004-nl,uu-assumptions-004-nl,"Welke van de onderstaande assumpties speelt GEEN rol bij een herhaalde-metingen analyse met één within-factor en één between-factor?
Answerlist
----------
* Homogeniteit van varianties
* Homogeniteit van regressielijnen
* Normaal verdeelde residuen
* Sphericiteit
",schoice,Assumptions,Performing analysis,NA,Dutch,Statistical Literacy,4061d,Assumptions/Assumptions,2026-01-12
22,Assumptions/uu-assumptions-005-en,uu-assumptions-005-en,"TRUE should you look at in a multiple regression analysis, to check for outliers in XY space?
Answerlist
----------
* The Mahalanobis distance
* Cook's distance
* To the normality of the distribution of the dependent variable
* None of the above answers is correct
",schoice,Assumptions,Performing analysis,NA,English,Statistical Literacy,6048c,Assumptions/Assumptions,2026-01-12
23,Assumptions/uu-assumptions-005-nl,uu-assumptions-005-nl,"Waar moet je bij een multipele regressie-analyse naar kijken, om na te gaan of er sprake is van uitschieters in de XY-ruimte?
Answerlist
----------
* Naar de Mahalanobis distance
* Naar de Cook's distance
* Naar de normaliteit van de verdeling van de afhankelijke variabele
* Geen van de bovenstaande antwoorden is juist
",schoice,Assumptions,Performing analysis,NA,Dutch,Statistical Literacy,f22f3,Assumptions/Assumptions,2026-01-12
27,Assumptions/uu-assumptions-013-en,uu-assumptions-013-en,"Which of the following situations is not an assumption for correct interpretation of the results of a multiple linear regression analysis?
Answerlist
----------
* The observations used to collect the research data (variables) are dependent on each other.
* The distribution of the observed scores of the dependent variable Y around the best-fit regression line is approximately evenly distributed for the different values of the Xs.
* The prediction errors are normally distributed when the regression model is applied.
* The statistical relationship between the independent variables (Xs) in the model is not too strong.
",schoice,Assumptions,Performing analysis,NA,English,Statistical Literacy,0d86e,Assumptions/Assumptions,2026-01-12
28,Assumptions/uu-assumptions-013-nl,uu-assumptions-013-nl,"Welke van de onderstaande situaties is geen assumptie voor een correcte interpretatie van de resultaten van een multipele lineaire regressieanalyse?
Answerlist
----------
* De observaties die zijn gebruikt voor het verzamelen van de onderzoeksgegevens (variabelen) zijn afhankelijk van elkaar.
* De spreiding van de geobserveerde scores van de afhankelijke variabele Y rond de best passende regressielijn is ongeveer gelijk verdeeld voor de verschillende waarden van de X-en.
* De voorspellingsfouten zijn bij toepassing van het regressiemodel normaalverdeeld.
* De statistische samenhang tussen de onafhankelijke variabelen (X-en) in het model is niet te sterk.
",schoice,Assumptions,Performing analysis,NA,Dutch,Statistical Literacy,f726e,Assumptions/Assumptions,2026-01-12
48,Assumptions/uu-Homoscedasticity-023-en,uu-Homoscedasticity-023-en,"One of the conditions of a regression analysis is about ""homoscedasticity."" Which graph is best to use to check this condition?
Answerlist
----------
* A scatterplot with the predictors on the X-axis and nurse stress scores on the Y-axis
* A scatterplot with the residuals on the X-axis and nurse stress scores on the Y-axis
* A scatterplot with the residuals on the X axis and nurse stress scores on the Y axis
* A scatterplot with standardized-predicted nurse stress scores on the X-axis and the standardized residuals on the Y-axis
",schoice,Assumptions/Homoscedasticity,Performing analysis,NA,English,Statistical Literacy,5b831,Assumptions/Homoscedasticity,2026-01-12
268,Descriptive-statistics/eur-descriptive-116-en,eur-descriptive-116-en,"*Work for psychologists and educators.*
A scientist was commissioned to investigate whether psychology and education graduates succeed in finding level jobs. The researcher designed his own questionnaire consisting of 12 Likert items with 5 response options ranging from completely disagree (1) to completely agree (5). An example of an item is: I had to put a lot of effort to find a job opening for a level job. The responses of 608 educators (1) and psychologists (2), distinguished in the variable [psy_ped], to the 12 items are shown in the data file. NOTES. The more the respondent agrees with the statements, the more difficult he/she finds it to find a level job.
Open the data file.
Which of the 12 items has the least variation in respondents' answers (no decimals)?
* Download**: [SPSS file](eur-descriptive-116-nl-data.sav), [CSV file](eur-descriptive-116-nl-data.csv)
",num,Descriptive statistics/Summary Statistics/Measures of Spread/Standard Deviation,"Interpreting output, Performing analysis",SPSS,English,Statistical Literacy,04b15,Descriptive statistics/Standard Deviation,2026-01-12
269,Descriptive-statistics/eur-descriptive-116-nl,eur-descriptive-116-nl,"*Werk voor psychologen en pedagogen.*
Een wetenschapper heeft de opdracht gekregen om te onderzoeken of het afgestudeerde psychologen en pedagogen lukt om een baan op niveau te vinden. De onderzoeker heeft zelf een vragenlijst ontworpen bestaande uit 12 Likert items met 5 antwoordmogelijkheden die variëren van helemaal mee oneens (1) tot helemaal mee eens (5). Een voorbeeld van een item is: Ik heb veel moeite moeten doen om een vacature voor een baan op niveau te vinden. De antwoorden van 608 pedagogen (1) en psychologen (2), onderscheiden in de variabele [psy_ped], op de twaalf items staan weergegeven in het databestand. NB. Hoe meer de respondent het eens is met de stellingen, des te moeilijker hij/zij het vindt om een baan op niveau te vinden.
Open het databestand.
Op welk van de 12 items wordt het minst gevarieerd geantwoord door de respondenten? (geen decimalen)
**Download**: [SPSS file](eur-descriptive-116-nl-data.sav), [CSV file](eur-descriptive-116-nl-data.csv)
",num,Descriptive statistics/Summary Statistics/Measures of Spread/Standard Deviation,"Interpreting output, Performing analysis",SPSS,Dutch,Statistical Literacy,2f50c,Descriptive statistics/Standard Deviation,2026-01-12
270,Descriptive-statistics/eur-descriptive-117-en,eur-descriptive-117-en,"*Work for psychologists and educators.*
A scientist was commissioned to investigate whether psychology and education graduates succeed in finding level jobs. The researcher designed his own questionnaire consisting of 12 Likert items with 5 response options ranging from completely disagree (1) to completely agree (5). An example of an item is: I had to put a lot of effort to find a job opening for a level job. The responses of 608 educators (1) and psychologists (2), distinguished in the variable [psy_ped], to the 12 items are shown in the data file. NOTES. The more the respondent agrees with the statements, the more difficult he/she finds it to find a level job.
Open the data file.
What is the highest correlation between an item and the corrected item total score? (3 decimal places)
* Download**: [SPSS file](eur-descriptive-117-nl-data.sav), [CSV file](eur-descriptive-117-nl-data.csv)
",num,Descriptive statistics/Summary Statistics/Bivariate statistics/Correlation,Performing analysis,SPSS,English,Statistical Literacy,8fed6,Descriptive statistics/Correlation,2026-01-12
271,Descriptive-statistics/eur-descriptive-117-nl,eur-descriptive-117-nl,"*Werk voor psychologen en pedagogen.*
Een wetenschapper heeft de opdracht gekregen om te onderzoeken of het afgestudeerde psychologen en pedagogen lukt om een baan op niveau te vinden. De onderzoeker heeft zelf een vragenlijst ontworpen bestaande uit 12 Likert items met 5 antwoordmogelijkheden die variëren van helemaal mee oneens (1) tot helemaal mee eens (5). Een voorbeeld van een item is: Ik heb veel moeite moeten doen om een vacature voor een baan op niveau te vinden. De antwoorden van 608 pedagogen (1) en psychologen (2), onderscheiden in de variabele [psy_ped], op de twaalf items staan weergegeven in het databestand. NB. Hoe meer de respondent het eens is met de stellingen, des te moeilijker hij/zij het vindt om een baan op niveau te vinden.
Open het databestand.
Wat is de hoogste correlatie tussen een item en de corrected item total score? (3 decimalen)
**Download**: [SPSS file](eur-descriptive-117-nl-data.sav), [CSV file](eur-descriptive-117-nl-data.csv)
",num,Descriptive statistics/Summary Statistics/Bivariate statistics/Correlation,Performing analysis,SPSS,Dutch,Statistical Literacy,15f03,Descriptive statistics/Correlation,2026-01-12
272,Descriptive-statistics/eur-descriptive-118-en,eur-descriptive-118-en,"*Work for psychologists and educators.*
A scientist was commissioned to investigate whether psychology and education graduates succeed in finding level jobs. The researcher designed his own questionnaire consisting of 12 Likert items with 5 response options ranging from completely disagree (1) to completely agree (5). An example of an item is: I had to put a lot of effort to find a job opening for a level job. The responses of 608 educators (1) and psychologists (2), distinguished in the variable [psy_ped], to the 12 items are shown in the data file. NOTES. The more the respondent agrees with the statements, the more difficult he/she finds it to find a level job.
Open the data file.
Calculate the total score as the sum of all responses to all items. Take into account the misses when calculating the total score and exclude individuals who gave less than 8 answers. Round total scores to whole numbers. What is the mean of the total score? (3 decimal places)
* Download**: [SPSS file](eur-descriptive-118-nl-data.sav), [CSV file](eur-descriptive-118-nl-data.csv)
",num,Descriptive statistics/Summary Statistics/Measures of Location/Mean,Performing analysis,SPSS,English,Statistical Literacy,e92a7,Descriptive statistics/Mean,2026-01-12
273,Descriptive-statistics/eur-descriptive-118-nl,eur-descriptive-118-nl,"*Werk voor psychologen en pedagogen.*
Een wetenschapper heeft de opdracht gekregen om te onderzoeken of het afgestudeerde psychologen en pedagogen lukt om een baan op niveau te vinden. De onderzoeker heeft zelf een vragenlijst ontworpen bestaande uit 12 Likert items met 5 antwoordmogelijkheden die variëren van helemaal mee oneens (1) tot helemaal mee eens (5). Een voorbeeld van een item is: Ik heb veel moeite moeten doen om een vacature voor een baan op niveau te vinden. De antwoorden van 608 pedagogen (1) en psychologen (2), onderscheiden in de variabele [psy_ped], op de twaalf items staan weergegeven in het databestand. NB. Hoe meer de respondent het eens is met de stellingen, des te moeilijker hij/zij het vindt om een baan op niveau te vinden.
Open het databestand.
Bereken de totaalscore als de som van alle antwoorden op alle items. Houd rekening met de missings bij het berekenen van de totaalscore en neem personen die minder dan 8 antwoorden hebben gegeven niet mee. Rond de totaalscores af op gehele getallen. Wat is het gemiddelde van de totaalscore? (3 decimalen)
**Download**: [SPSS file](eur-descriptive-118-nl-data.sav), [CSV file](eur-descriptive-118-nl-data.csv)
",num,Descriptive statistics/Summary Statistics/Measures of Location/Mean,Performing analysis,SPSS,Dutch,Statistical Literacy,96d95,Descriptive statistics/Mean,2026-01-12
274,Descriptive-statistics/eur-descriptive-119-en,eur-descriptive-119-en,"*Knowledge about the professional field.*
A knowledge test about the professional field of psychologists and pedagogues consists of 20 items and was administered to 202 students in the master's program in psychology and pedagogy. The total number of correctly answered questions is shown in the variable [total score].
Open the data file.
Calculate the percentile scores. What percent of all students have a total score of 8 or lower (1 decimal place).
* Download**: [SPSS file](eur-descriptive-119-nl-data.sav), [CSV file](eur-descriptive-119-nl-data.csv)
",num,Descriptive statistics/Score interpretation/Percentile,Performing analysis,SPSS,English,Statistical Literacy,9a60c,Descriptive statistics/Percentile,2026-01-12
275,Descriptive-statistics/eur-descriptive-119-nl,eur-descriptive-119-nl,"*Kennis over het beroepsveld.*
Een kennistoets over het beroepsveld van psychologen en pedagogen bestaat uit 20 items en is afgenomen bij 202 studenten uit de master psychologie en pedagogiek. Het totale aantal correct beantwoorde vragen is weergegeven in de variabele [totaalscore]. 
Open het databestand.
Bereken de percentiel scores. Hoeveel procent van alle studenten heeft een totaalscore van 8 of lager? (1 decimaal).
**Download**: [SPSS file](eur-descriptive-119-nl-data.sav), [CSV file](eur-descriptive-119-nl-data.csv)

",num,Descriptive statistics/Score interpretation/Percentile,Performing analysis,SPSS,Dutch,Statistical Literacy,b5c86,Descriptive statistics/Percentile,2026-01-12
