,folder,name,question,Item Type,Section,Type,Program,Language,Level,ID,SectionShort,date
276,Descriptive-statistics/eur-descriptive-120-en,eur-descriptive-120-en,"* Nowledge about the professional field.*
A knowledge test about the professional field of psychologists and pedagogues consists of 20 items and was administered to 202 students from the psychology and pedagogy master's program. The total number of correctly answered questions is shown in the variable [total score].
Open the data file.
How many students have a total score greater than two standard deviations above the mean in the group (no decimals)?
* Download**: [SPSS file](eur-descriptive-120-nl-data.sav), [CSV file](eur-descriptive-120-nl-data.csv)
",num,Descriptive statistics/Summary Statistics/Measures of Spread/Standard Deviation,Performing analysis,SPSS,English,Statistical Literacy,e7f39,Descriptive statistics/Standard Deviation,2026-01-12
278,Descriptive-statistics/eur-descriptive-121-en,eur-descriptive-121-en,"*Knowledge about the professional field.*
A knowledge test about the professional field of psychologists and pedagogues consists of 20 items and was administered to 202 students in the master's degree program in psychology and pedagogy. The total number of correctly answered questions is shown in the variable [total score].
Open the data file.
What is the total score associated with a percentile score of 75%? (no decimal places)
* Download**: [SPSS file](eur-descriptive-121-nl-data.sav), [CSV file](eur-descriptive-121-nl-data.csv)
",num,Descriptive statistics/Score interpretation/Percentile,Performing analysis,SPSS,English,Statistical Literacy,9c0fd,Descriptive statistics/Percentile,2026-01-12
280,Descriptive-statistics/eur-descriptive-122-en,eur-descriptive-122-en,"*Knowledge about the professional field.*
A knowledge test about the professional field of psychologists and pedagogues consists of 20 items and was administered to 202 students in the master's program in psychology and pedagogy. The total number of correctly answered questions is shown in the variable [total score]. In addition, the scores (0 = not correct, 1 = correct) on item 8 from the above knowledge test are shown in the variable [item8].
Open the data file.
The researcher would like to divide the student's total scores into the following 2 percentile groups: 0-85% = 1; and >85% = 2. Create a new variable in which each student is assigned to the correct percentile group based on his or her percentile score for the variable [total score]. What is the proportion correct on item 8 [item8] for students belonging to percentile group 2? (2 decimal places)
* Download**: [SPSS file](eur-descriptive-122-nl-data.sav), [CSV file](eur-descriptive-122-nl-data.csv)
",num,Descriptive statistics/Summary Statistics/Proportion,Performing analysis,SPSS,English,Statistical Literacy,b5a57,Descriptive statistics/Proportion,2026-01-12
282,Descriptive-statistics/eur-descriptive-123-en,eur-descriptive-123-en,"*Knowledge about the professional field.*
A knowledge test about the professional field of psychologists and pedagogues consists of 20 items and was administered to 202 students in the master's program in psychology and pedagogy. The total number of correctly answered questions is shown in the variable [total score]. In addition, the scores (0 = not correct, 1 = correct) on item 8 from the above knowledge test are shown in the variable [item8].
Open the data file.
Based on the scores, identify a group consisting of those with a score of 12 or lower on the variable [total score]. What is the proportion correct of this group on item 8 (3 decimal places)?
* Download**: [SPSS file](eur-descriptive-123-nl-data.sav), [CSV file](eur-descriptive-123-nl-data.csv)
",num,Descriptive statistics/Summary Statistics/Proportion,Performing analysis,SPSS,English,Statistical Literacy,e41d0,Descriptive statistics/Proportion,2026-01-12
296,Descriptive-statistics/eur-descriptive-130-en,eur-descriptive-130-en,"Open the SPSS file.
Of the women (Gender = 2), what is the percentage with a score of 2 (disagree) on statement 1 (statement 1)? Round your answer to 1 decimal place.
**Download**: [SPSS file](eur-descriptive-130-en-data.sav), [CSV file](eur-descriptive-130-en-data.csv)
",num,Descriptive statistics/Summary Statistics/Proportion,Performing analysis,SPSS,English,Statistical Literacy,eac30,Descriptive statistics/Proportion,2026-01-12
300,Descriptive-statistics/eur-descriptive-132-en,eur-descriptive-132-en,"A researcher is interested in the consequences of the financial crisis for 16- and 17-year olds. She wants to predict their leisure expenses in November 2012 [expenses_nov] from a number of predictors. She collected data from 202 teenagers: 1) leisure expenses in November 2012 [expenses_nov]; 2) leisure expenses in July 2012 [expenses_jul]; 3) income from their side occupation in November 2012 [salary_nov]; 4) time spent on studying [studytime]; and 5) their educational level [education] (1 = vmbo, 2 = havo, 3 = vwo)*.
translation for the Dutch education levels: (1 = Lower General Secondary Education, 2 = Higher General Secondary Education, 3 = Pre-university Education)
Open the data file.
Compute the correlations between the predictors: [expenses_jul], [salary_nov], [studytime] and the outcome variable expenses in november 2012 [expenses_nov]. Choose in this analysis a listwise exclusion of missing values. Which predictor has the highest correlation with the outcome variable? Report this correlation. (3 decimals)
**Download**: [SPSS file](eur-descriptive-132-en-data.sav), [CSV file](eur-descriptive-132-en-data.csv)
",num,Descriptive statistics/Summary Statistics/Bivariate statistics/Correlation,Performing analysis,SPSS,English,Statistical Literacy,52ad0,Descriptive statistics/Correlation,2026-01-12
428,Descriptive-statistics/eur-descriptive-401-en,eur-descriptive-401-en,"A researcher working at the psychology institute investigates alcohol abuse among adolescents. The researcher designed a questionnaire with 12 items using Likert scales ranging from 1 (completely disagree) to 5 (completely agree). An example of an item is: When I go out, I often consume more than 5 alcoholic beverages. The answers of 608 adolescent girls (1) and boys (2) to the 12 items are in the dataset. Note: higher scores on the questionnaire reflect more alcohol abuse.
To which of the 12 items do the adolescents give the least varied responses? (no decimals)
Open the dataset below to answer this question:
**Download** [SPSS file](eur-descriptive-401-en-data.sav), [CSV file](eur-descriptive-401-en-data.csv)
",num,Descriptive statistics/Summary Statistics/Measures of Spread/Standard Deviation,"Interpreting output, Performing analysis",SPSS,English,Statistical Literacy,aaa64,Descriptive statistics/Standard Deviation,2026-01-12
436,Descriptive-statistics/eur-descriptive-405-en,eur-descriptive-405-en,"A knowledge test on alcohol contains 20 items and is administered to 202 high school students. The variable [total score] gives the total correct scores. Gender (0 = woman; 1 = man) and alcohol use (0 = very often; 1 = often; 2 = sometimes; 3 = never) are also included in the dataset. 
What is the total score corresponding to a percentile score of 75%? (no decimals)
Open the dataset below to answer this question:
**Download** [SPSS file](eur-descriptive-405-en-data.sav), [CSV file](eur-descriptive-405-en-data.csv)
",num,Descriptive statistics/Score interpretation/Percentile,"Performing analysis, Interpreting output",SPSS,English,Statistical Literacy,ba907,Descriptive statistics/Percentile,2026-01-12
446,Descriptive-statistics/eur-descriptive-410-en,eur-descriptive-410-en,"A researcher working at the psychology institute investigates alcohol abuse among adolescents. The researcher designed 34 statements the adolescents can agree or disagree with on a four-point scale (1. completely agree; 2. somewhat agree; 3. somewhat disagree; 4. completely disagree). An example of a statement is: When I feel lonely, I enjoy drinking an alcoholic beverage. The answers of 312 girls (0) and boys (1) to the 34 statements are in the dataset. Also included in the dataset are IQ scores, scale scores and the amount of alcohol use (1 = very often; 2 = often; 3 = sometimes; 4 = never).
To which of the 34 items do the adolescents give the most varied responses? (no decimals)
Open the dataset below to answer this question:
**Download** [SPSS file](eur-descriptive-410-en-data.sav), [CSV file](eur-descriptive-410-en-data.csv)
",num,"Descriptive statistics/Summary Statistics/Measures of Spread/Variance, Descriptive statistics/Summary Statistics/Measures of Spread/Standard Deviation","Interpreting output, Performing analysis",SPSS,English,Statistical Literacy,7bdcf,Descriptive statistics/Variance,2026-01-12
452,Descriptive-statistics/eur-descriptive-413-en,eur-descriptive-413-en,"A researcher working at the psychology institute investigates alcohol abuse among adolescents. The researcher designed 34 statements the adolescents can agree or disagree with on a four-point scale (1. completely agree; 2. somewhat agree; 3. somewhat disagree; 4. completely disagree). An example of a statement is: When I feel lonely, I enjoy drinking an alcoholic beverage. The answers of 312 girls (0) and boys (1) to the 34 statements are in the dataset. Also included in the dataset are IQ scores, scale scores and the amount of alcohol use (1 = very often; 2 = often; 3 = sometimes; 4 = never).
What is the scale score corresponding to a percentile score of 30%? (no decimals)
Open the dataset below to answer this question:
**Download** [SPSS file](eur-descriptive-413-en-data.sav), [CSV file](eur-descriptive-413-en-data.csv)
",num,Descriptive statistics/Score interpretation/Percentile,"Interpreting output, Performing analysis, Calculation",SPSS,English,Statistical Literacy,37b82,Descriptive statistics/Percentile,2026-01-12
480,Descriptive-statistics/uu-Descriptive-statistics-601-en,uu-Descriptive-statistics-601-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-601-en-data.sav), [CSV file](uu-Descriptive-statistics-601-en-data.csv)
Use the data file to answer the questions.

* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on grammar is known is....
* The standard deviation of the score on spelling is....
* The minimum score obtained on technical reading is....
* The mode of vocabulary is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,c4be6,Descriptive statistics/Descriptive statistics,2026-01-12
482,Descriptive-statistics/uu-Descriptive-statistics-602-en,uu-Descriptive-statistics-602-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-602-en-data.sav), [CSV file](uu-Descriptive-statistics-602-en-data.csv)
Open the data file.

* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on reading comprehension is known is....
* The average score on vocabulary is....
* The minimum score obtained on grammar is....
* The mode of spelling is...",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,c43ef,Descriptive statistics/Descriptive statistics,2026-01-12
484,Descriptive-statistics/uu-Descriptive-statistics-603-en,uu-Descriptive-statistics-603-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-603-en-data.sav), [CSV file](uu-Descriptive-statistics-603-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose gender is known is....
* The average score on technical reading is...
* The maximum score obtained on grammar is....
* The mode of comprehension reading is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,c9e89,Descriptive statistics/Descriptive statistics,2026-01-12
486,Descriptive-statistics/uu-Descriptive-statistics-604-en,uu-Descriptive-statistics-604-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-604-en-data.sav), [CSV file](uu-Descriptive-statistics-604-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on multiplication is known is....
* The average score on addition is...
* The minimum score obtained on after-measurement mental arithmetics is...
* The mode of fractions is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,1bc45,Descriptive statistics/Descriptive statistics,2026-01-12
488,Descriptive-statistics/uu-Descriptive-statistics-605-nl,uu-Descriptive-statistics-605-nl,"
**Download**: [SPSS file](uu-Descriptive-statistics-605-nl-data.sav), [CSV file](uu-Descriptive-statistics-605-nl-data.csv)
Open het databestand.
Beantwoord de volgende vragen. 
**Beantwoord iedere vraag met alle decimalen die in de output vermeld staan.**
Answerlist
----------
* Het aantal respondenten waarvan de score op optellen bekend is, is…
* De gemiddelde score op breuken is…
* De maximaal behaalde score op vermenigvuldigen is…
* De modus van voormeting hoofdrekenen is…
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",Dutch,Statistical Literacy,7a05e,Descriptive statistics/Descriptive statistics,2026-01-12
489,Descriptive-statistics/uu-Descriptive-statistics-606-nl,uu-Descriptive-statistics-606-nl,"
**Download**: [SPSS file](uu-Descriptive-statistics-606-nl-data.sav), [CSV file](uu-Descriptive-statistics-606-nl-data.csv)
Open het databestand.
Beantwoord de volgende vragen. 
**Beantwoord iedere vraag met alle decimalen die in de output vermeld staan.**
Answerlist
----------
* Het aantal respondenten waarvan de score op herkennen van kleuren bekend is, is…
* De gemiddelde score op herkennen van woorden is…
* De minimaal behaalde score op herkennen van dieren is…
* De modus van herkennen van vormen is…
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",Dutch,Statistical Literacy,0e0e3,Descriptive statistics/Descriptive statistics,2026-01-12
490,Descriptive-statistics/uu-Descriptive-statistics-607-nl,uu-Descriptive-statistics-607-nl,"
**Download**: [SPSS file](uu-Descriptive-statistics-607-nl-data.sav), [CSV file](uu-Descriptive-statistics-607-nl-data.csv)
Open het databestand.
Beantwoord de volgende vragen. 
**Beantwoord iedere vraag met alle decimalen die in de output vermeld staan.**
Answerlist
----------
* Het aantal respondenten waarvan de score op herkennen van vormen bekend is, is…
* De standaardafwijking van herkennen van dieren is…
* De maximaal behaalde score op herkennen van kleuren is…
* De modus van herkennen van woorden is…
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",Dutch,Statistical Literacy,7db3b,Descriptive statistics/Descriptive statistics,2026-01-12
491,Descriptive-statistics/uu-Descriptive-statistics-608-en,uu-Descriptive-statistics-608-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-608-en-data.sav), [CSV file](uu-Descriptive-statistics-608-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on recognizing letters is known is....
* The standard deviation of recognizing shapes is....
* The minimum score obtained on recognizing animals is...
* The mode of recognizing animals is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,f0ae7,Descriptive statistics/Descriptive statistics,2026-01-12
493,Descriptive-statistics/uu-Descriptive-statistics-609-en,uu-Descriptive-statistics-609-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-609-en-data.sav), [CSV file](uu-Descriptive-statistics-609-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on support from partner is known is....
* The average score on number of years of employment is....
* The minimum score obtained on number of years of education is....
* The mode of support from child is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,e0717,Descriptive statistics/Descriptive statistics,2026-01-12
495,Descriptive-statistics/uu-Descriptive-statistics-610-en,uu-Descriptive-statistics-610-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-610-en-data.sav), [CSV file](uu-Descriptive-statistics-610-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on recognizing letters is known is....
* The standard deviation of recognizing shapes is....
* The minimum score obtained on recognizing animals is...
* The mode of recognizing animals is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,e5058,Descriptive statistics/Descriptive statistics,2026-01-12
497,Descriptive-statistics/uu-Descriptive-statistics-611-en,uu-Descriptive-statistics-611-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-611-en-data.sav), [CSV file](uu-Descriptive-statistics-611-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on support from partner is known is....
* The average score on number of years of employment is....
* The minimum score obtained on number of years of education is....
* The mode of number of years of employment is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,0496c,Descriptive statistics/Descriptive statistics,2026-01-12
499,Descriptive-statistics/uu-Descriptive-statistics-612-en,uu-Descriptive-statistics-612-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-612-en-data.sav), [CSV file](uu-Descriptive-statistics-612-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose vocabulary score is known is....
* The standard deviation of reading comprehension is....
* The minimum score obtained on spelling is....
* The mode of grammar is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,b57e9,Descriptive statistics/Descriptive statistics,2026-01-12
501,Descriptive-statistics/uu-Descriptive-statistics-613-en,uu-Descriptive-statistics-613-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-613-en-data.sav), [CSV file](uu-Descriptive-statistics-613-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on support from child is known is....
* The average score on support from partner is....
* The maximum score obtained on support from boss is....
* The mode of number of years of employment is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,36b4b,Descriptive statistics/Descriptive statistics,2026-01-12
503,Descriptive-statistics/uu-Descriptive-statistics-614-en,uu-Descriptive-statistics-614-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-614-en-data.sav), [CSV file](uu-Descriptive-statistics-614-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on reading comprehension is known is....
* The average score on vocabulary is....
* The minimum score obtained on grammar is....
* The mode of spelling is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,c6cb8,Descriptive statistics/Descriptive statistics,2026-01-12
505,Descriptive-statistics/uu-Descriptive-statistics-615-en,uu-Descriptive-statistics-615-en,"
**Download**: [SPSS file](uu-Descriptive-statistics-615-en-data.sav), [CSV file](uu-Descriptive-statistics-615-en-data.csv)
Open the data set.
Answer the following questions.
**Answer all questions with all decimals given in the output.**
Answerlist
----------
* The minimum score achieved for grammar is equal to…
* The median for spelling is…
* The number of respondents who answered “not agree” to question V1 is equal to…

",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,a427a,Descriptive statistics/Descriptive statistics,2026-01-12
507,Descriptive-statistics/uu-Descriptive-statistics-616-en,uu-Descriptive-statistics-616-en,"
* Download**: [SPSS file](uu-Descriptive-statistics-616-en-data.sav), [CSV file](uu-Descriptive-statistics-616-en-data.csv)
Open the data file.
Answer the following questions.
* Answer each question with all decimals listed in the output.**
Answerlist
----------
* The number of respondents whose score on well-being at measurement time 3 is known is....
* The average score on stress tolerance is....
* The maximum score obtained on job satisfaction is...
* The number of respondents in experimental group A is...
",cloze,Descriptive statistics,Performing analysis,"SPSS, JASP",English,Statistical Literacy,112c4,Descriptive statistics/Descriptive statistics,2026-01-12
